Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
KO,CocaCola Company (The),Beverages Non Alcoholic,55.65,4.4934,2.5411,1.6407,1.79,7.6901,4.4934
XOM,Exxon Mobil Corporation,Oil & Gas Integrated,55.77,36.7947,1.0218,3.5245,-5.25,41.7162,36.7947
LLY,Eli Lilly and Company,Drug Manufacturers General,259.75,6.2137,4.054,2.9594,6.79,27.0264,6.2137
NVO,Novo Nordisk A/S,Biotechnology,101.88,4.4743,0.9014,1.3207,2.9767,8.9696,4.4743
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",Oil & Gas Refining & Marketing,21.43,0.4125,0.172,0.0173,0.009,0.8243,0.4125
NGG,"National Grid Transco, PLC",Utilities Regulated Electric,64.66,7.7491,0.9761,0.5247,0.6468,5.7727,7.7491
DHR,Danaher Corporation,Diagnostics & Research,319.1,56.3258,8.5482,0.8711,4.89,31.5637,56.3258
VZ,Verizon Communications Inc.,Telecom Services,54.77,16.387,5.644,2.4715,4.3,30.9884,16.387
ABT,Abbott Laboratories,Medical Devices,124.59,18.6142,4.0316,1.4439,2.5,19.5195,18.6142
INTC,Intel Corporation,Semiconductors,53.89,19.2994,5.6906,1.326,4.94,18.5442,19.2994
TMO,Thermo Fisher Scientific Inc.,Diagnostics & Research,548.51,87.1389,26.0985,0.851,15.98,81.3586,87.1389
PEP,"PepsiCo, Inc.",Beverages Non Alcoholic,154.94,9.7141,6.896,3.9776,5.11,50.8101,9.7141
ACN,Accenture PLC,Information Technology Services,335.66,26.7311,13.3805,3.204,7.89,69.6965,26.7311
ABBV,AbbVie Inc.,Drug Manufacturers General,119.58,7.8566,5.0864,4.6287,2.72,27.4769,7.8566
NVS,Novartis AG,Drug Manufacturers General,92.02,24.8863,5.0782,3.0685,3.55,21.9139,24.8863
WFC,Wells Fargo & Company,Banks Diversified,49.81,44.8973,98.4407,1.1782,0.41,18.0107,44.8973
GSK,GlaxoSmithKline plc,Drug Manufacturers General,40.82,4.0015,1.7474,1.0262,1.5834,9.3539,4.0015
AVGO,Broadcom Inc.,Semiconductors,495.94,59.4552,18.9502,13.7662,6.33,59.4229,59.4552
COST,Costco Wholesale Corporation,Discount Stores,450.34,41.3665,30.1018,3.3462,9.02,377.2873,41.3665
T,AT&T Inc.,Telecom Services,27.13,22.5895,1.3662,2.0897,-0.75,23.9989,22.5895
MRK,"Merck & Co., Inc.",Drug Manufacturers General,76.3,10.0067,3.1866,2.4565,2.78,18.9775,10.0067
SHOP,Shopify Inc.,Software Application,1531.42,53.3394,53.2331,0,2.67,24.4083,53.3394
MS,Morgan Stanley,Capital Markets,105.45,63.4941,208.5334,1.7087,6.47,30.0961,63.4941
CVX,Chevron Corporation,Oil & Gas Integrated,98.64,70.9765,3.0091,5.1738,-2.96,50.6374,70.9765
CHU,China Unicom (Hong Kong) Ltd,Other,6.03,1.6322,0.2962,0.0273,0.0593,1.4391,1.6322
MDT,Medtronic PLC,Medical Devices,133.81,38.2364,8.0424,2.3197,2.66,22.3918,38.2364
MCD,McDonald's Corporation,Restaurants,237.48,-10.5034,4.6295,5.0374,6.31,25.7826,-10.5034
BCS,Barclays PLC,Banks Diversified,10.39,4.31,31.8755,0.0695,0.1229,1.8807,4.31
TXN,Texas Instruments Incorporated,Semiconductors,190.52,9.975,7.1314,3.7199,5.97,15.7014,9.975
SAP,SAP SE,Software Application,148.72,30.852,7.2113,1.8033,5.3381,28.3821,30.852
TMUS,"T-Mobile US, Inc.",Telecom Services,138.38,57.1189,9.0778,0,2.65,59.7876,57.1189
LYG,Lloyds Banking Group PLC,Banks Regional,2.39,0.8367,4.4587,0,0.0137,0.5908,0.8367
UPS,"United Parcel Service, Inc.",Integrated Freight & Logistics,193.3,0.7578,7.2849,3.8916,1.54,97.3841,0.7578
SE,Sea Limited Sponsored ADR,Electronic Gaming & Multimedia,321.03,7.0922,14.9937,0,-3.39,9.1929,7.0922
NEE,"NextEra Energy, Inc.",Utilities Regulated Electric,83.41,18.6386,0.5937,1.4002,1.48,8.7167,18.6386
QCOM,QUALCOMM Incorporated,Semiconductors,144.85,5.3542,9.8802,2.5392,4.52,20.7322,5.3542
LIN,Linde plc,Specialty Chemicals,314.54,89.7856,7.1233,3.8482,4.71,51.6945,89.7856
HON,Honeywell International Inc.,Specialty Industrial Machinery,231.14,24.9276,21.6193,3.6818,6.72,46.3636,24.9276
PM,Philip Morris International Inc.,Tobacco,102.1,-8.0713,4.6789,4.7296,5.16,18.431,-8.0713
INTU,Intuit Inc.,Software Application,565.94,36.5519,14.3333,2.3926,6.92,35.6778,36.5519
MRNA,"Moderna, Inc.",Biotechnology,382.22,6.7159,12.0865,0,-1.96,2.1068,6.7159
C,Citigroup Inc.,Banks Diversified,72.99,95.6098,469.5139,2.5657,4.71,35.6673,95.6098
CHTR,"Charter Communications, Inc.",Entertainment,807.18,117.266,4.9163,0.7586,15.4,236.931,117.266
RY,Royal Bank Of Canada,Banks Diversified,104.69,45.7659,317.091,3.3084,5.8956,24.3405,45.7659
BMY,Bristol Myers Squibb Company,Drug Manufacturers General,66.6,16.7502,7.3246,1.8047,-3.99,18.8299,16.7502
GS,"The Goldman Sachs Group, Inc.",Capital Markets,419.69,269.4719,1140.6236,6.5618,24.74,123.4494,269.4719
PBR,Petroleo Brasileiro S.A.- Petrobras,Oil & Gas Integrated,11.21,4.5521,0.9488,0.1048,0.104,4.0157,4.5521
UNP,Union Pacific Corporation,Railroads,221.43,25.0487,2.7563,3.8789,7.88,28.8523,25.0487
BLK,"BlackRock, Inc.",Asset Management,954.94,230.6078,56.6275,14.7712,31.85,110.6667,230.6078
UL,Unilever PLC,Household & Personal Products,55.51,7.1194,2.9639,1.8656,2.5799,23.4926,7.1194
LOW,"Lowe's Companies, Inc.",Home Improvement Retail,205.9,1.9211,6.9465,2.2781,7.75,119.7821,1.9211
SCHW,The Charles Schwab Corporation,Capital Markets,75.84,39.2302,53.0742,0.8957,2.12,8.4738,39.2302
PBR.A,Petroleo Brasileiro S.A.- Petrobras,Oil & Gas Integrated,10.92,4.5521,0.9488,0.1048,0.104,4.0157,4.5521
SBUX,Starbucks Corporation,Restaurants,115.12,-6.6539,3.9488,1.6398,0.79,20.0452,-6.6539
AMD,"Advanced Micro Devices, Inc.",Semiconductors,111.4,4.9299,1.9341,0,2.06,8.2458,4.9299
AXP,American Express Company,Credit Services,168.65,28.5516,40.9503,1.8311,3.77,47.4348,28.5516
IBN,ICICI Bank Limited,Banks Regional,19.19,3.1932,2.9545,0,0.3725,2.4078,3.1932
BA,The Boeing Company,Aerospace & Defense,221.75,-32.1898,44.9736,2.0351,-20.88,102.2162,-32.1898
