Ticker,Name,Industry,Stock Price,Book value per Share,Cash per Share,Dividend per Share,EPS (Basic),Revenue per Share,Shareholders Equity per Share
CVNA,Carvana Co.,Internet Retail,337.52,5.9692,7.0769,0,-2.63,85.9538,5.9692
LEN.B,Lennar Corporation,Residential Construction,88.46,58.2362,9.4434,0.6312,7.85,72.699,58.2362
VLO,Valero Energy Corporation,Oil & Gas Refining & Marketing,67.11,46.1941,8.14,4.4423,-3.5,159.4054,46.1941
XP,XP Inc.,Capital Markets,48.66,3.7989,0.6812,0,0.73,2.9946,3.7989
GENE,Genetic Technologies Ltd,Diagnostics & Research,3.32,0.0021,0.0023,0,0,0,0.0021
WY,Weyerhaeuser Company,Reit Specialty,35.95,11.6881,0.6627,0.51,1.07,10.083,11.6881
O,Realty Income Corporation,Reit Retail,71.55,31.8406,2.3884,2.7993,1.15,4.7536,31.8406
KSU,Kansas City Southern,Railroads,294.46,43.1596,2,1.6202,6.54,28.0106,43.1596
ETSY,"Etsy, Inc.",Internet Retail,210.38,6.1322,13.7934,0,2.69,14.2645,6.1322
IT,"Gartner, Inc.",Information Technology Services,307.8,12.2472,8.0112,0,2.96,46.0562,12.2472
DAL,"Delta Air Lines, Inc.",Airlines,41.52,2.4119,22.4654,0.4088,-19.47,26.8789,2.4119
CCEP,Coca-Cola Europacific Partners,Beverages Non Alcoholic,58.11,16.2022,4.0945,0.9691,1.25,26.5736,16.2022
VIAC,ViacomCBS Inc.,Entertainment,40.89,26.0649,4.8442,0.974,3.92,41.0471,26.0649
IBA,"Industrias Bachoco, S.A. de C.V.",Farm Products,43.8,3.6285,1.6118,0.0619,0.3297,5.7623,3.6285
CS,Credit Suisse Group,Banks Diversified,10.66,19.7314,163.6066,0.3108,1.2382,10.3218,19.7314
ED,Consolidated Edison Inc,Utilities Regulated Electric,75.64,56.2597,4.2866,2.9104,3.28,36.5343,56.2597
DB,Deutsche Bank Aktiengesellschaft,Banks Regional,12.42,31.8929,158.3597,0,0.2822,15.7614,31.8929
TAK,Takeda Pharmaceutical Co.,Drug Manufacturers Specialty & Generic,16.63,29.8667,5.583,1.7052,2.1726,18.4775,29.8667
YNDX,Yandex N.V.,Internet Content & Information,72.41,12.9238,9.4457,0,1.03,8.8504,12.9238
ET,Energy Transfer LP,Oil & Gas Midstream,9.485,11.6424,0.1361,0.0182,-0.24,14.4488,11.6424
HSY,Hershey Company (The),Confectioners,175.64,10.7174,5.4882,3.0739,6.3,39.0975,10.7174
RCI,"Rogers Communication, Inc.",Telecom Services,50.75,14.8795,3.8609,1.4945,2.4725,21.6299,14.8795
URI,"United Rentals, Inc.",Rental & Leasing Services,355.22,62.2603,2.7671,0,12.2,116.8493,62.2603
SIRI,Sirius XM Holdings Inc.,Broadcasting,6.25,-0.5277,0.0164,0.0547,0.03,1.8568,-0.5277
YUMC,Yum China Holdings Inc.,Restaurants,60.36,15.9128,10.9308,0.3282,2.01,21.1872,15.9128
SPLK,Splunk Inc.,Software Infrastructure,155.07,9.9625,11.6188,0,-5.68,13.9313,9.9625
NTRS,Northern Trust Corporation,Asset Management,121.03,56.1923,316.6476,2.8106,5.46,29.3894,56.1923
WAT,Waters Corporation,Diagnostics & Research,407.35,3.7419,7.1452,0,8.36,38.1452,3.7419
FTV,Fortive Corporation,Scientific & Technical Instruments,74.02,26.5679,8.7255,0.2798,4.58,13.7356,26.5679
DOV,Dover Corporation,Specialty Industrial Machinery,174.44,23.5139,3.5625,1.9744,4.7,46.4167,23.5139
CUK,Carnival Corporation,Leisure,22.18,26.4877,12.2598,0.889,-13.76,7.5217,26.4877
VMC,Vulcan Materials Company,Building Materials,187.95,45.3158,9.0075,1.355,4.39,36.5188,45.3158
ABC,AmerisourceBergen Corporation,Medical Distribution,119.89,-4.9707,22.4293,1.676,-16.65,926.3122,-4.9707
Z,"Zillow Group, Inc.",Internet Content & Information,99.24,21.1696,17.8438,0,-0.72,14.9107,21.1696
EXR,Extra Space Storage Inc,Reit Industrial,183.45,19.6,0.9846,3.5982,3.71,10.8308,19.6
CAJ,"Canon, Inc.",Computer Hardware,23.44,23.7912,3.7673,1.1364,0.77,29.1981,23.7912
ZG,"Zillow Group, Inc.",Internet Content & Information,98.63,21.1696,17.8438,0,-0.72,14.9107,21.1696
HZNP,Horizon Therapeutics Public Limited Company,Drug Manufacturers General,108.23,19.7336,10.2124,0,1.91,10.7882,19.7336
XYL,Xylem Inc.,Specialty Industrial Machinery,134.94,16.4889,10.4167,1.0444,1.4,27.0667,16.4889
MDB,"MongoDB, Inc.",Software Infrastructure,395.61,-0.0848,16.2415,0,-4.53,10.0091,-0.0848
HRL,Hormel Foods Corporation,Packaged Foods,44.92,11.9442,3.2193,0.9059,1.66,17.8587,11.9442
HIG,"The Hartford Financial Services Group, Inc.",Insurance Diversified,68.18,51.789,0.667,1.2755,4.76,57.2788,51.789
VRSN,"VeriSign, Inc.",Software Infrastructure,214.66,-12.087,10.1478,0,7.07,11,-12.087
DKNG,DraftKings Inc.,Gambling,60.01,8.6095,5.9458,0,-4.03,2.0109,8.6095
MGA,Magna International Inc.,Auto Parts,79.99,37.899,11.2454,1.6167,2.6609,114.6782,37.899
TRMB,Trimble Inc.,Scientific & Technical Instruments,95.71,14.3307,0.9482,0,1.55,12.5418,14.3307
TS,Tenaris S.A.,Oil & Gas Equipment & Services,20.34,9.5647,1.2375,0.07,-0.5768,4.6914,9.5647
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,203.93,8.8359,16.3237,0,-7.46,4.2862,8.8359
OKE,"ONEOK, Inc.",Oil & Gas Midstream,53.84,14.0186,1.2158,3.7247,1.42,19.6218,14.0186
OXY,Occidental Petroleum Corporation,Oil & Gas E&P,25.66,20.21,2.37,2.0076,-17.06,18.6485,20.21
MLM,"Martin Marietta Materials, Inc.",Building Materials,384.35,95.0161,4.9032,2.2629,11.54,76.2903,95.0161
ENPH,"Enphase Energy, Inc.",Solar,174.99,3.8547,5.4077,0,0.95,6.1677,3.8547
BIO,"Bio-Rad Laboratories, Inc.",Medical Devices,792.41,329.3333,33.3667,0,126.2,84.8667,329.3333
IP,International Paper Company,Packaging & Containers,60.13,19.9847,13.855,2.0509,1.22,52.3664,19.9847
RNG,"Ringcentral, Inc.",Software Application,257.48,3.5056,7.191,0,-0.94,13.3034,3.5056
BILL,"Bill.com Holdings, Inc.",Software Application,283.98,8.9282,8.765,0,-0.39,1.979,8.9282
BEKE,KE Holdings Inc. Sponsored ADR,Real Estate Services,19.88,13.7571,13.4405,0,0.15,14.5558,13.7571
DTE,DTE Energy Company,Utilities Regulated Electric,120.65,64.3782,2.6736,4.1399,7.08,63.6269,64.3782
CERN,Cerner Corporation,Health Information Services,76.84,14.6026,3.4463,0.7214,2.52,17.9349,14.6026
INVH,Invitation Home Inc.,Reit Residential,40.5,15.352,0.7437,0.0039,0.35,3.0794,15.352
AVTR,"Avantor, Inc.",Specialty Chemicals,39.28,4.6424,0.4983,0,0.09,11.1007,4.6424
TRU,TransUnion,Consulting Services,119.63,13.3684,2.6105,0.3032,1.79,14.3,13.3684
LNG,"Cheniere Energy, Inc.",Oil & Gas Midstream,89.75,-0.7579,8.2421,0,-0.34,37.254,-0.7579
DISH,DISH Network Corporation,Entertainment,43.15,26.2476,7.1105,0,3.02,29.5105,26.2476
CNHI,CNH Industrial N.V.,Farm & Heavy Construction Machinery,16.81,3.6321,7.1273,0.0059,-0.36,19.2739,3.6321
MKC,"McCormick & Company, Incorporated",Packaged Foods,85.22,14.7041,1.588,1.2363,2.78,20.9775,14.7041
BIO.B,"Bio-Rad Laboratories, Inc.",Medical Devices,762.8,329.3333,33.3667,0,126.2,84.8667,329.3333
MPWR,"Monolithic Power Systems, Inc.",Semiconductors,494.96,21.5656,13.2694,1.9801,3.5,18.8326,21.5656
XM,Qualtrics International Inc.,Software Application,44.07,-0.5262,0.399,0,-0.53,1.4935,-0.5262
AEE,Ameren Corporation,Utilities Regulated Electric,88.02,36.1862,0.6316,2.0243,3.5,23.4575,36.1862
GWW,"W.W. Grainger, Inc.",Industrial Distribution,432.13,33.8519,10.8333,6.2593,12.94,218.463,33.8519
PPL,PPL Corporation,Utilities Regulated Electric,29.22,17.3901,1.0442,1.658,1.91,9.8921,17.3901
ETR,Entergy Corporation,Utilities Regulated Electric,111.69,55.73,8.795,3.7417,6.9,49.825,55.73
ASAI,Sendas Distribuidora S.A. Sponsored ADR,Household & Personal Products,16.69,0.2026,0.5075,0.0708,0.2002,5.1786,0.2026
TDOC,"Teladoc Health, Inc.",Health Information Services,142.83,175.4964,8.6953,0,-5.36,12.0868,175.4964
SUI,"Sun Communities, Inc.",Reit Residential,198.81,58.7857,1,3.1953,1.35,14.2653,58.7857
CTLT,"Catalent, Inc.",Drug Manufacturers Specialty & Generic,129.85,23.3667,6.3533,0.2413,1.14,20.6267,23.3667
IR,Ingersoll Rand Inc.,Specialty Industrial Machinery,52.85,23.812,4.5718,0,-0.09,12.8198,23.812
TSCO,Tractor Supply Company,Specialty Retail,192.4,16.5862,11.569,1.5057,6.38,91.5517,16.5862
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,446.58,78.0612,2.3878,0.0612,4.81,49.6122,78.0612
CRL,"Charles River Laboratories International, Inc.",Diagnostics & Research,436.75,42.3,4.66,0,7.2,58.48,42.3
DISCB,"Discovery Communications, Inc.",Entertainment,43.07,23.5294,4.1,0.498,1.8,20.8627,23.5294
EXPE,"Expedia Group, Inc.",Travel Services,146.74,17.9574,29.4965,0.3404,-19,36.8723,17.9574
EIX,Edison International,Utilities Regulated Electric,57.53,37.6622,0.2386,2.8043,1.98,36.4021,37.6622
FOXA,Fox Corporation,Broadcasting,37.2,18.8206,9.9594,0.5584,3.61,21.8426,18.8206
CZR,"Caesars Entertainment, Inc.",Resorts & Casinos,104.24,38.5846,29.0692,0,-13.52,26.7231,38.5846
FLT,"FleetCor Technologies, Inc.",Information Technology Services,261.84,39.9381,17.5823,0,8.38,28.4371,39.9381
MAA,"Mid-America Apartment Communities, Inc.",Reit Residential,189.21,51.5088,0.3158,4.0119,2.19,14.7193,51.5088
K,Kellogg Company,Packaged Foods,63.28,9.0729,1.2682,2.2799,3.63,40.1458,9.0729
LU,Lufax Holding Ltd. Sponsored ADR,Credit Services,8.76,5.6481,3.2681,0,0.81,3.7572,5.6481
ZTO,ZTO Express (Cayman) Inc.,Integrated Freight & Logistics,26.06,9.4092,3.465,0.3175,0.7855,4.5908,9.4092
GIB,"CGI Group, Inc.",Information Technology Services,87.51,20.7074,4.8718,0,3.1892,34.6758,20.7074
HES,Hess Corporation,Oil & Gas E&P,69.85,17.5934,5.7016,1.8689,-10.15,13.5082,17.5934
FTS,Fortis Inc.,Utilities Regulated Electric,45.73,31.5609,0.4203,1.3662,2.0408,15.0825,31.5609
QRVO,"Qorvo, Inc.",Semiconductors,190.73,40.6053,12.2632,0,6.32,35.2193,40.6053
RCL,Royal Caribbean Cruises Ltd.,Travel Services,83.26,40.9393,17.5467,1.5253,-27.05,10.3224,40.9393
MGM,MGM Resorts International,Resorts & Casinos,43.32,13.168,10.3279,0.1571,-2.02,10.4494,13.168
ULTA,Ulta Beauty Inc.,Specialty Retail,387.23,35.7143,18.6786,0,3.11,109.8571,35.7143
EXPD,"Expeditors International of Washington, Inc.",Integrated Freight & Logistics,124.57,15.8333,9.0952,1.0412,4.07,60.2143,15.8333
FE,FirstEnergy Corporation,Utilities Regulated Electric,38.57,13.3524,3.3229,1.559,1.99,19.9077,13.3524
ESS,"Essex Property Trust, Inc.",Reit Residential,320.76,92.3077,1.2923,8.7244,8.68,23.0154,92.3077
DLTR,"Dollar Tree, Inc.",Discount Stores,90.89,30.8177,5.9928,0,5.68,107.9074,30.8177
VTR,"Ventas, Inc.",Reit Healthcare Facilities,55.29,27.2922,1.2118,2.5096,1.17,10.1743,27.2922
KMX,"CarMax, Inc.",Auto & Truck Dealerships,126.59,26.7791,3.8589,0,4.52,116.2577,26.7791
NVR,"NVR, Inc.",Residential Construction,5139.27,775.75,702.5,0,230.09,1841.75,775.75
PKI,"PerkinElmer, Inc.",Diagnostics & Research,182.91,33.3482,3.5982,0.2787,6.49,33.7768,33.3482
CLX,The Clorox Company,Household & Personal Products,164.86,3.2619,2.5317,4.6746,5.58,58.2619,3.2619
BURL,"Burlington Stores, Inc.",Apparel Retail,309.53,7.0455,21.0152,0,-3.28,87.197,7.0455
DVN,Devon Energy Corporation,Oil & Gas E&P,30.36,7.6525,6.4377,0.7188,-7.12,12.3952,7.6525
TER,"Teradyne, Inc.",Semiconductor Equipment & Materials,122.6,13.3193,8.6506,0.4005,4.28,18.8012,13.3193
HOLX,"Hologic, Inc.",Medical Instruments & Supplies,79.19,10.2852,2.6654,0,4.21,14.3574,10.2852
CHD,"Church & Dwight Co., Inc.",Household & Personal Products,82.71,12.2267,0.7409,0.9607,3.12,19.8219,12.2267
ASX,"ASE Technology Holding Co., Ltd.",Semiconductors,9.28,3.8692,0.933,0.1423,0.44,7.9641,3.8692
FOX,Fox Corporation,Broadcasting,34.53,18.8206,9.9594,0.5584,3.61,21.8426,18.8206
UI,Ubiquiti Inc.,Communication Equipment,321.87,-4.5385,2.2154,1.2105,5.8,19.7692,-4.5385
WPM,Wheaton Precious Metals Corp.,Gold,44.91,12.7267,0.4283,0.3724,1.1931,2.5698,12.7267
HPE,Hewlett Packard Enterprise Company,Communication Equipment,15.42,12.4026,3.5711,0.483,-0.25,20.8223,12.4026
PAGS,PagSeguro Digital Ltd.,Software Infrastructure,60.93,5.4498,1.5319,0,0.76,2.6565,5.4498
DRI,"Darden Restaurants, Inc.",Restaurants,153.08,21.6385,9.3462,1.5585,4.77,55.3538,21.6385
RF,Regions Financial Corporation,Banks Regional,20.92,18.8853,18.7237,0.6204,1.03,6.2346,18.8853
CINF,Cincinnati Financial Corporation,Insurance Property & Casualty,124.4,67.0124,5.5901,2.3292,7.49,46.8075,67.0124
KEY,KeyCorp,Banks Regional,20.89,18.5754,18.6157,0.8564,1.27,6.8161,18.5754
BR,"Broadridge Financial Solutions, Inc.",Information Technology Services,171.58,15.5948,2.3707,2.256,4.65,44.1897,15.5948
QSR,Restaurant Brands International Inc.,Restaurants,64.61,7.1761,5.1644,3.1755,1.6954,17.3204,7.1761
ALLY,Ally Financial Inc.,Credit Services,53.54,39.1037,41.5452,0.7686,2.88,19.891,39.1037
AMCR,Amcor PLC,Packaging & Containers,12.78,3.1043,0.5473,0.4778,0.6,8.2814,3.1043
BSY,"Bentley Systems, Incorporated",Software Application,65.06,1.1799,0.4209,1.4581,0.42,2.7652,1.1799
TDY,Teledyne Technologies Incorporated,Scientific & Technical Instruments,458.89,87.2703,18.1892,0,10.6,82.7297,87.2703
PODD,Insulet Corporation,Medical Devices,295.09,9.3303,14.6443,0,0.1,13.9708,9.3303
STX,Seagate Technology Holdings PLC,Computer Hardware,86.31,2.6074,5.0124,2.6818,5.36,44.1364,2.6074
AMC,"AMC Entertainment Holdings, Inc.",Entertainment,40.84,-24.6581,2.7436,0.0556,-39.15,10.6154,-24.6581
RJF,"Raymond James Financial, Inc.",Capital Markets,142.99,51.5507,71.3696,1.4855,5.83,59.4058,51.5507
CQP,"Cheniere Energy Partners, LP",Oil & Gas Midstream,40.44,1.7895,3.2757,3.406,2.66,14.817,1.7895
DLO,DLocal Limited,Other,67.33,83.857,223.4773,27.9226,,193.8626,83.857
WMG,Warner Music Group Corp.,Entertainment,37.99,-0.1235,1.0843,0.6745,-0.93,8.751,-0.1235
SSNC,"SS&C Technologies Holdings, Inc.",Software Application,76.24,22.332,0.8398,0.5316,2.35,18.2344,22.332
ON,ON Semiconductor Corporation,Semiconductors,45.5,8.6107,2.6326,0.0122,0.56,12.7859,8.6107
DPZ,Domino's Pizza Inc,Restaurants,512.22,-84.6154,12.8718,3.1263,12.39,105.5641,-84.6154
TYL,"Tyler Technologies, Inc.",Software Application,476.77,49.65,16.9,0,4.69,27.925,49.65
IMO,Imperial Oil Limited,Oil & Gas Integrated,26.82,22.8729,0.8234,0.6592,-1.9859,21.9438,22.8729
WDC,Western Digital Corporation,Computer Hardware,63.24,35.1508,11.0492,0,2.66,55.482,35.1508
NTAP,"NetApp, Inc.",Computer Hardware,87.06,3.0856,20.7387,1.9234,3.23,25.8243,3.0856
TECH,Bio-Techne Corp,Biotechnology,495.01,40.5451,5.9876,1.2807,3.47,24.0285,40.5451
STE,STERIS plc,Medical Instruments & Supplies,213.61,45.6588,2.6,1.5746,4.63,36.5647,45.6588
POOL,Pool Corporation,Leisure,480.91,15.9328,0.8478,2.2922,9.14,98.1555,15.9328
DRE,Duke Realty Corporation,Reit Industrial,50.59,13.9519,0.1459,0.9691,0.8,2.6839,13.9519
PEAK,"Healthpeak Properties, Inc.",Reit Healthcare Facilities,35.5,12.7834,0.209,1.4822,0.77,3.0979,12.7834
BBWI,"Bath & Body Works, Inc.",Other,68.54,-2.3813,14.0396,0.2986,3,42.6151,-2.3813
CFG,"Citizens Financial Group, Inc.",Banks Regional,44.74,53.0984,30.5363,1.5738,2.22,15.1429,53.0984
JBHT,"J.B. Hunt Transport Services, Inc.",Integrated Freight & Logistics,179.56,24.5283,2.9528,1.0777,4.74,90.9151,24.5283
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V.,Airports & Air Services,48.71,1.3724,0.3813,0,0.1412,0.6916,1.3724
ROL,"Rollins, Inc.",Personal Services,38.61,1.9126,0.1992,0.3262,0.53,4.3923,1.9126
DT,"Dynatrace, Inc.",Software Application,66.97,3.9705,1.1586,0,0.27,2.5083,3.9705
AGR,"Avangrid, Inc.",Utilities Regulated Electric,54.34,49.2201,5.7055,1.7638,1.88,20.4757,49.2201
AVY,Avery Dennison Corporation,Business Equipment & Supplies,226.33,17.8916,3.4337,2.3711,6.61,84,17.8916
LYV,"Live Nation Entertainment, Inc.",Entertainment,86.9,-2.2264,12.0094,0,-8.12,8.7783,-2.2264
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,149.14,50.4403,8.6418,2.2164,10.52,70.4254,50.4403
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,23.07,19.1007,6.1215,1.1022,-14.73,30.6741,19.1007
CMS,CMS Energy Corporation,Utilities Regulated Electric,64.16,19.2842,0.6491,1.6386,2.64,23.4386,19.2842
TTWO,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,160.03,28.9739,28.4348,0,5.09,29.3304,28.9739
NICE,Nice Ltd.,Software Application,293.44,40.6466,23.2069,0,3.3565,27.9865,40.6466
PFG,"Principal Financial Group, Inc.",Insurance Diversified,68.12,60.2145,10.3629,2.2345,5.05,53.6073,60.2145
KB,KB Financial Group Inc,Banks Regional,47.17,96.1061,450.6441,2.0329,8.091,74.3239,96.1061
MTB,M&T Bank Corporation,Banks Regional,142.18,125.4806,203.7607,4.404,9.94,44.7597,125.4806
AKAM,"Akamai Technologies, Inc.",Software Infrastructure,112.2,26.2407,6.7778,0,3.37,19.7407,26.2407
HAL,Halliburton Company,Oil & Gas Equipment & Services,20.55,5.6459,2.9092,0.3156,-3.34,16.3961,5.6459
MKTX,MarketAxess Holdings Inc.,Capital Markets,484.77,25.5628,13.6781,2.4242,7.85,18.446,25.5628
SHG,Shinhan Financial Group Co Ltd,Banks Regional,34.01,76.9503,53.4569,1.5502,6.1116,40.8609,76.9503
TFX,Teleflex Incorporated,Medical Instruments & Supplies,388.22,72.5217,8.1739,1.3744,7.09,55.1522,72.5217
PCG,Pacific Gas & Electric Co.,Utilities Regulated Electric,9.12,16.7072,0.4988,0,-1.05,14.6929,16.7072
TXG,10x Genomics Inc.,Health Information Services,164.21,7.3066,6.7243,0,-5.37,2.9544,7.3066
AFRM,"Affirm Holdings, Inc.",Information Technology Services,67.9,3.3675,2.5624,0,-0.97,3.9257,3.3675
TW,Tradeweb Markets Inc.,Capital Markets,89,23.8513,4.39,0.4148,0.88,4.948,23.8513
CE,Celanese Corporation,Chemicals,160.25,29.8814,12.6102,2.4831,16.75,47.9237,29.8814
IDBA,IDEX Biometrics ASA Sponsored ADR,Software Application,19.546,0.0164,0.0095,0,-0.0387,0.0016,0.0164
GPC,Genuine Parts Company,Specialty Retail,123.66,22.1839,6.8524,3.1374,-0.2,114.4665,22.1839
MKL,Markel Corporation,Insurance Property & Casualty,1272.8,914.2857,372.6178,0,55.63,695.6429,914.2857
EXAS,Exact Sciences Corporation,Diagnostics & Research,103.89,18.6954,12.1854,0,-5.61,9.8742,18.6954
J,Jacobs Engineering Group Inc.,Engineering & Construction,136.01,44.0606,9.1667,0,3.71,102.1591,44.0606
BXP,"Boston Properties, Inc.",Reit Office,113.09,38.6839,11.0903,4.4445,5.54,17.8452,38.6839
HBAN,Huntington Bancshares Incorporated,Banks Regional,15.65,12.7758,6.6608,0.6037,0.69,4.468,12.7758
LOGI,Logitech International S.A.,Computer Hardware,104.68,13.3435,10.3226,0.8681,5.4973,30.3912,13.3435
COUP,"Coupa Software, Inc.",Software Application,239.13,15.1694,8.8391,0,-2.63,7.9004,15.1694
VTRS,Viatris Inc.,Drug Manufacturers Specialty & Generic,14.37,38.193,1.5557,0,-1.11,19.8686,38.193
HEI,Heico Corporation,Aerospace & Defense,127.9,14.6667,3.0148,0.1596,2.29,13.237,14.6667
TCOM,Trip.com Group Limited Sponsored ADR,Travel Services,28.43,25.905,11.2816,0,-0.83,4.6714,25.905
CG,Carlyle Group Inc.,Asset Management,48.37,7.6829,3.2514,1.226,0.97,8.1457,7.6829
JHX,James Hardie Industries PLC.,Building Materials,38.58,2.3908,0.7776,0,0.59,6.5556,2.3908
IEX,IDEX Corporation,Specialty Industrial Machinery,225.3,33.4211,13.5,1.9979,4.94,30.9474,33.4211
UPST,"Upstart Holdings, Inc.",Credit Services,223.18,4.0954,4.2466,0.0085,0.08,3.1838,4.0954
PBA,Pembina Pipeline Corp.,Oil & Gas Midstream,31.11,20.3795,0.1439,2.0766,-0.6829,8.8511,20.3795
ARGX,ARGENX SE-ADR,Biotechnology,336.69,36.8599,43.9671,0,-14.2962,0.9843,36.8599
WAB,Westinghouse Air Brake Technologies Corporation,Railroads,90.19,53.2737,3.1526,0.4868,2.17,39.7684,53.2737
ELP,Companhia Paranaense de Energia (COPEL),Utilities Diversified,6.19,1.404,0.2268,0.0444,0.2753,1.3107,1.404
CHKP,Check Point Software Technologies Ltd.,Software Infrastructure,126.68,24.5816,11.9716,0,6.03,14.6454,24.5816
CVE,Cenovus Energy Inc,Oil & Gas Integrated,8.37,10.6703,0.2414,0.0468,-1.5228,8.4477,10.6703
NVAX,"Novavax, Inc.",Biotechnology,226.67,10.8941,13.9869,0,-7.27,8.2635,10.8941
S,"SentinelOne, Inc.",Software Infrastructure,64.9,1.1636,1.5323,0,-0.46,0.3602,1.1636
BIP,Brookfield Infrastructure Partners LP,Utilities Diversified,56.55,18.1797,5.0746,3.8441,0.31,30.1186,18.1797
INCY,Incyte Corporation,Biotechnology,75.68,11.9771,8.2615,0,-1.36,12.2339,11.9771
ACGL,Arch Capital Group Ltd.,Insurance Diversified,41.75,32.5211,2.2493,0.0123,3.32,20.7916,32.5211
CDAY,Ceridian HCM Holding Inc.,Software Application,110.75,14.294,1.2809,0,-0.03,5.7401,14.294
TXT,Textron Inc.,Aerospace & Defense,72.89,25.5758,9.8628,0.0788,1.35,50.981,25.5758
VICI,VICI Properties Inc.,Reit Diversified,30.52,18.6087,0.664,1.2099,1.75,2.4229,18.6087
BATRA,Liberty Media Corporation,Entertainment,26.35,31.7682,4.5883,0.1037,-1.53,15.175,31.7682
ENTG,"Entegris, Inc.",Semiconductor Equipment & Materials,120.07,10.2148,4.3037,0.3203,2.16,13.7704,10.2148
ABMD,"ABIOMED, Inc.",Medical Devices,358.53,29.4639,12.9375,0,4.94,18.7754,29.4639
PPD,"PPD, Inc.",Drug Manufacturers Specialty & Generic,46.26,-2.1881,2.251,0,0.35,13.7215,-2.1881
ELAN,Elanco Animal Health Incorporated,Drug Manufacturers Specialty & Generic,33.31,19.22,1.1451,0,-1.27,7.4218,19.22
NUAN,"Nuance Communications, Inc.",Software Application,55.05,4.0424,1.3145,0,0.07,5.2261,4.0424
SUZ,Suzano S.A. Sponsored ADR,Paper & Paper Products,11.97,1.0322,1.2912,0,-1.5306,4.3473,1.0322
AES,The AES Corporation,Utilities Diversified,24.19,5.2722,2.588,1.2075,0.07,14.5278,5.2722
BEN,"Franklin Resources, Inc.",Asset Management,32.94,20.5589,8.0447,1.0837,1.59,11.2988,20.5589
LYFT,"Lyft, Inc.",Software Application,48.39,5.3718,7.2147,0,-5.61,7.5801,5.3718
RPRX,Royalty Pharma PLC,Biotechnology,39.19,26.3576,5.492,2.9909,1.61,5.6529,26.3576
BRO,"Brown & Brown, Inc.",Insurance Brokers,58.15,13.7007,4.708,0.3671,1.69,9.5365,13.7007
LBTYB,Liberty Global PLC,Entertainment,28.76,22.696,4.8621,0,-2.7,19.9003,22.696
STNE,StoneCo Ltd.,Software Infrastructure,51.61,9.8863,7.0379,0.0006,0.57,1.0268,9.8863
CAG,CONAGRA BRANDS,Packaged Foods,33.05,17.5967,0.1626,0.9765,2.66,23.0144,17.5967
LBTYK,Liberty Global PLC,Entertainment,28.54,22.696,4.8621,0,-2.7,19.9003,22.696
LBTYA,Liberty Global PLC,Entertainment,28.41,22.696,4.8621,0,-2.7,19.9003,22.696
HEI.A,Heico Corporation,Aerospace & Defense,116.77,14.6667,3.0148,0.1596,2.29,13.237,14.6667
CGNX,Cognex Corporation,Scientific & Technical Instruments,89.17,7.2742,2.1442,2.2509,1,4.6748,7.2742
OMC,Omnicom Group Inc.,Advertising Agencies,73.19,14.2778,25.9306,2.6051,4.37,60.9769,14.2778
EMN,Eastman Chemical Company,Chemicals,115.27,44.2868,4.1471,2.6324,3.5,62.2353,44.2868
LKQ,LKQ Corporation,Auto Parts,52.05,18.5443,1.023,0,2.09,38.1279,18.5443
UDR,"United Dominion Realty Trust, Inc.",Reit Residential,52.81,10.9627,0.0814,1.5301,0.2,4.2068,10.9627
EVRG,Evergy Inc.,Utilities Regulated Electric,68.31,38.4714,0.6388,2.0485,2.72,21.6432,38.4714
MAS,Masco Corporation,Building Products & Equipment,61.99,0.7386,5.0227,0.6364,4.6,27.2273,0.7386
MOH,"Molina Healthcare, Inc",Healthcare Plans,268.74,35.5254,102.1864,0,11.24,327.0339,35.5254
NLOK,NortonLifeLock Inc.,Software Infrastructure,26.78,-0.8489,1.6146,0.6333,0.92,4.3311,-0.8489
AVLR,"Avalara, Inc.",Software Application,179.94,13.3358,8.5695,0,-0.61,6.181,13.3358
UAL,United Airlines Holdings Inc,Airlines,47.71,21.362,42.7885,0,-25.3,55.0358,21.362
CLVT,Clarivate PLC,Information Technology Services,25.01,21.634,0.627,0,-0.73,2.9231,21.634
PTC,PTC Inc.,Software Application,131.98,12.3966,2.6207,0,1.12,12.569,12.3966
DOCS,"Doximity, Inc.",Other,82.53,0.8156,0.7844,0,0.12,1.1387,0.8156
BMRN,BioMarin Pharmaceutical Inc.,Biotechnology,83.51,22.7097,5.8904,0,4.75,10.2899,22.7097
MASI,Masimo Corporation,Medical Instruments & Supplies,277.28,25.7338,11.7266,0,4.39,20.9094,25.7338
LNT,Alliant Energy Corporation,Utilities Regulated Electric,60.84,23.7419,0.2177,1.5202,2.47,13.7742,23.7419
GDRX,"GoodRx Holdings, Inc.",Health Information Services,37.23,1.8154,2.4817,0,-0.75,1.4061,1.8154
SEDG,"SolarEdge Technologies, Inc.",Solar,291.25,21.72,20.68,0,2.66,29.18,21.72
RGEN,Repligen Corporation,Medical Instruments & Supplies,275.83,29.0939,13.6431,0,1.11,6.9692,29.0939
